name,longitude,latitude,LSOA11CD,LSOA11NM
New Globe Hotel,-0.0368949,51.5245354,E01004232,Tower Hamlets 003C
,-0.1496165,51.5045464,E01004761,Westminster 018D
,-0.1504716,51.5054498,E01004761,Westminster 018D
Artist Residence,-0.1448993,51.490553,E01004751,Westminster 022C
The Blair Victoria & Tudor Inn Hotel,-0.1422041,51.4914334,E01004749,Westminster 022B
The Melville Hotel,-0.1227249,51.5288076,E01000939,Camden 024C
Keystone Hostel,-0.1208545,51.5309951,E01002711,Islington 021B
Ellis Bringham Mountain Sports,-0.0064042,51.5426645,E01033583,Newham 013G
Harrow Hotel,-0.3428417,51.5811585,E01002160,Harrow 021B
united lodge hotel,-0.0977657,51.574334,E01002058,Haringey 031D
,-0.1626703,51.5014239,E01004689,Westminster 019C
,-0.1628777,51.5015644,E01004689,Westminster 019C
Citadines,-0.1185245,51.5178529,E01000914,Camden 028B
,-0.1184781,51.5175973,E01000914,Camden 028B
Premier Inn St Pancras,-0.1268228,51.528606,E01000942,Camden 025D
,-0.1470322,51.5067409,E01004761,Westminster 018D
,-0.147211,51.5077338,E01004761,Westminster 018D
,-0.1471399,51.5077702,E01004761,Westminster 018D
,-0.1470483,51.5078171,E01004761,Westminster 018D
,-0.1495304,51.5102001,E01004761,Westminster 018D
,-0.0673833,51.5160777,E01004325,Tower Hamlets 021D
,-0.0677126,51.5161407,E01004325,Tower Hamlets 021D
mk Hotel London,-0.21349,51.4642989,E01004609,Wandsworth 010E
,-0.178224,51.5142423,E01004681,Westminster 016A
,-0.174796,51.5161248,E01033594,Westminster 015G
,-0.1747141,51.5161689,E01033594,Westminster 015G
,-0.1430541,51.5195093,E01004765,Westminster 013D
Goodenough Club,-0.117697,51.525359,E01000936,Camden 024A
Helen's Hotel,-0.255968,51.540725,E01000521,Brent 025B
,-0.1270987,51.5138975,E01000919,Camden 028D
,-0.149693,51.5180869,E01004714,Westminster 011B
,-0.1576434,51.5136486,E01004657,Westminster 012A
,-0.1574716,51.5136681,E01004657,Westminster 012A
,-0.1572795,51.5136898,E01004657,Westminster 012A
,-0.1571301,51.5137068,E01004657,Westminster 012A
,-0.1570416,51.5137168,E01004657,Westminster 012A
,-0.1569308,51.513728,E01004657,Westminster 012A
,-0.1568277,51.5137395,E01004657,Westminster 012A
,-0.1567664,51.5137485,E01004657,Westminster 012A
,-0.1567031,51.5137552,E01004657,Westminster 012A
,-0.1565667,51.5137699,E01004657,Westminster 012A
,-0.1533373,51.5178831,E01004714,Westminster 011B
,-0.1529675,51.5179302,E01004714,Westminster 011B
,-0.1586772,51.5135299,E01004658,Westminster 012B
,-0.15856,51.5135446,E01004658,Westminster 012B
POINT.a hotels,-0.0776413,51.5210552,E01004307,Tower Hamlets 015B
,-0.1432744,51.4940095,E01004750,Westminster 023E
,-0.1511421,51.516746,E01004714,Westminster 011B
,-0.0761771,51.5243809,E01004316,Tower Hamlets 009C
,-0.409001,51.478724,E01002583,Hounslow 013A
,-0.4112067,51.479979,E01002584,Hounslow 013B
Emerald Hotel,-0.2217212,51.5005664,E01001854,Hammersmith and Fulham 007C
Pearl Hotel,-0.2217145,51.5006176,E01001854,Hammersmith and Fulham 007C
,0.0243506,51.5072873,E01033575,Newham 034G
,0.0098492,51.4925452,E01001667,Greenwich 036B
The Hoxton,-0.1220985,51.5172111,E01000918,Camden 028C
Premier Inn,-0.3011433,51.4097316,E01002968,Kingston upon Thames 009C
,-0.2202117,51.4921078,E01001898,Hammersmith and Fulham 013C
,-0.2196283,51.4920423,E01001898,Hammersmith and Fulham 013C
,-0.490218,51.5422653,E01002521,Hillingdon 016C
Premier Inn,-0.4312842,51.5731098,E01002535,Hillingdon 007E
,-0.019455,51.6029268,E01004455,Waltham Forest 006D
Mercure London Bloomsbury,-0.1233317,51.5209716,E01000914,Camden 028B
"Thistle Holborn, The Kingsley",-0.1241566,51.5177738,E01000918,Camden 028C
,-0.3154791,51.4795964,E01002686,Hounslow 006E
Mornington Hotel,-0.1403652,51.490273,E01004752,Westminster 022D
,-0.0991495,51.5054186,E01003927,Southwark 002A
,-0.3155518,51.350518,E01002948,Kingston upon Thames 020C
Morton Hotel,-0.1257912,51.5230303,E01000855,Camden 028A
,-0.1276419,51.5180278,E01000855,Camden 028A
,-0.1280452,51.5183987,E01000855,Camden 028A
,-0.1279882,51.5183464,E01000855,Camden 028A
,-0.1278567,51.5176807,E01000855,Camden 028A
,-0.1280421,51.5177677,E01000855,Camden 028A
